id;RussianText;EnglishText;PolishText
18;Оцените своё эмоциональное состояние от 0 до 10. Почему вы поставили такую оценку?;Rate your emotional state from 0 to 10. Why did you give this rating?;Oceń swój stan emocjonalny od 0 do 10. Dlaczego podałeś tę ocenę?
19;Расскажите сюжет сна, который вы не можешь забыть.;Tell the plot of a dream you can't forget;Opowiedz fabułę snu, którego nie możesz zapomnieć
20;Если бы до конца жизни нужно было смотреть только три сериала/фильма/шоу, то какие бы вы выбрали и почему?;If you only had to watch three shows/movies/shows for the rest of your life, which ones would you choose and why?;Gdybyś miał oglądać tylko trzy seriale/filmy/programy do końca życia, które byś wybrał i dlaczego?
21;Каким хобби вы бы выбрали заниматься целый год, если бы за него не нужно было платить?;What hobby would you choose to enjoy for a year if you didn't have to pay for it?;Jakie hobby wybrałbyś na rok, biorąc pod uwagę, że nie musisz za nie płacić?
22;Какую татуировку вы бы набили прямо сейчас?;What tattoo would you get right now?;Jaki tatuaż zrobiłbyś sobie teraz?
23;Расскажите самую смешную историю из жизни.;Tell the funniest story from your life;Opowiedz najśmieszniejszą historię ze swojego życia
24;Расскажите реальную историю, в которую сложно поверить.;Tell a real story that's hard to believe;Opowiedz prawdziwą historię, w którą trudno uwierzyć
25;Куда вы мечтаете отправиться в отпуск?;Where do you dream of going on vacation?;Gdzie marzysz pojechać na wakacje?
26;Что самое постыдное вы сделали?;What is the most embarrassing thing you've done?;Jaka jest najbardziej wstydliwa rzecz, jaką zrobiłeś?
27;Поделись последним запросом в Google.;Share your latest search on Google.;Podaj swoje ostatnie zapytanie w Google.
28;Назовите животное, которое больше всего на вас похоже.;Name the animal that most resembles you.;Podaj zwierzę, które jest najbardziej podobne do Ciebie
29;Чем вы гордитесь большего всего?;What are you most proud of?;Z czego jesteś najbardziej dumny?
30;О чём вы больше всего жалеете?;What do you regret the most?;O czym najbardziej żałujesz?
31;Расскажите о своей самой удачной покупке.;Tell about your most successful purchase;Opowiedz o swoim najbardziej udanym zakupie
32;Какая ваша любимая песня? Что вы чувствуете прослушивая её?;What is your favorite song? What do you feel when you listen to it?;Jaka jest Twoja ulubiona piosenka? Co czujesz, gdy jej słuchasz?
33;Кем вы больше всего восхищаетесь?;Who do you admire the most?;Kto jest dla Ciebie największym podziwem?
34;Какая у вас запретная тема для обсуждения?;What is your forbidden topic for discussion?;Jaki jest twój temat zakazany do dyskusji?
35;Какой вопрос вы бы задали вселенной, если бы точно получили ответ?;What question would you ask the Universe if you were guaranteed to receive an answer?;Jakie pytanie zadasz wszechświatowi, jeśli pewnie dostaniesz odpowidź?
36;Чего вы больше всего боитесь?;What is your biggest fear?;Jaki jest twój największy strach?
37;Какие качества вам бы хотелось приобрести?;What characteristics would you like to obtain?;Jakie cechy chciałbyś zdobyć?
38;Что сейчас вас больше всего тревожит?;What is worrying you the most right now?;Co martwi cię najbardziej w tej chwili?
39;Назовите фильм, который вы пересматриваете по многу раз;Name a movie you can watch over and over again;Podaj film, który możesz wielokrotnie oglądać
40;О чём обычно вы врете другим людям?;What do you usually lie to other people about?;O czym zazwyczaj kłamiesz innym osobom?
41;Из всех мест где вы жили, где вы чувствовали себя уютнее всего?;Tell about the places you have lived and where you felt the most comfortable?;Opowiedz o miejscach, w których mieszkałeś i gdzie czułeś się najbardziej komfortowo?
42;Что вас пугает в будущем?;What scares you about tomorrow?;Co cię przeraża w przyszłości?
43;Кто для вас авторитет?;Who is an authority figure for you, and why?;Kto jest autorytetem dla ciebie i dlaczego?
44;Как часто вы несправедливы по отношению к другим людям?;How often are you unfair to other people?;Jak często jesteś niesprawiedliwy wobec innych ludzi?
45;Что бы вы делали, если бы точно знали, что у вас всё получится?;What would you do if you knew for sure you were going to succeed?;Co byś zrobił, gdybyś był pewien, że wszystko się uda?
46;Каким был ваш лучший день в жизни?;What was the best day of your life?;Jaki był najlepszy dzień w Twoim życiu?
47;Назовите любимый мультфильм в детстве, почему? Какое влияние он на вас оказал?;Name your favorite cartoon from childhood, and why? What influence did it have on you?;Podaj swój ulubiony kreskówkę z dzieciństwa i dlaczego? Jakie miała ona na ciebie wpływ?
48;Как можно вас поддержать когда вы огорчёны?;How to support you when you are feeling down?;Jak można cię wesprzeć, gdy jesteś smutny?
49;Какая ваша самая вредная првычка?;What is your most harmful habit?;Jaki jest twój najbardziej szkodliwy nawyk?
50;Какой факт о вас мог бы удивить ваших родителей?;What fact about you could surprise your parents?;Jaki fakt o Tobie zaskoczyłby Twoich rodziców?
51;Расскажите в какой жизненной ситуации вы нервничали сильнее всего;Tell me about the life situation in which you were most nervous;Opowiedz o sytuacji życiowej, w której czułeś się najbardziej zdenerwowany
52;Какой персонаж напоминает вам вас самих?;Which character reminds you of yourself?;Która postać przypomina ci samego siebie?
53;Если бы вы узнали, что умрете через неделю, что бы вы сделали?;If you knew you would die in a week, what would you do?;Gdybyś wiedział, że umrzesz za tydzień, co byś zrobił?
54;Закончите фразу: ""Я бы никогда не..."";Complete the sentence: ""I would never...;Dokończ zdanie: ""Nigdy bym nie...
55;Если бы вы могли вернуться в прошлое, какой совет вы бы себе дали?;If you could go back in time, what advice would you give yourself?;Gdybyś mógł cofnąć się w czasie, jakiej rady byś sobie udzielił?
56;Закончите фразу: ""Я лучше всего умею..."";Finish the sentence, “My best skill is...”;Dokończ zdanie: „Jestem najlepszy w...”.
57;Кто знает вас лучше всех?;Who knows you best?;Kto zna cię najlepiej?
58;Что бы вы выбрали: быть вдвое умнее или вдвое счастливее?;Which would you choose: to be twice as smart or twice as happy?;Co byś wybrał: być dwa razy mądrzejszym czy dwa razy szczęśliwszym?
59;Какой самый странный комплимент вам когда-либо говорили?;What was the weirdest compliment you've ever received?;Jaki jest najdziwniejszy komplement, jaki kiedykolwiek otrzymałeś(łaś)?
60;Если бы ваша жизнь была фильмом, то как бы он назывался и какой это был бы жанр?;If your life were a movie, what would it be called? Would it be a comedy or a drama?;Gdyby Twoje życie było filmem, jak by się nazywał? Czy byłaby to komedia czy dramat?
61;Расскажите про ваш самый лучший новый год;Tell me about your best New Year's Eve ever;Opowiedz o swoim najlepszym sylwestrze w życiu
62;В чем вы не готовы пойти на компромисс;What you're not willing to compromise on;W czym nie jesteś skłonny pójść na kompromis
63;Как вы привыкли справляться с трудными ситуациями?;How are you used to dealing with difficult situations?;Jak radzisz sobie w trudnych sytuacjach?
64;В чём вы для себя находите ресурс?;What do you find a resource for yourself in?;W czym znajdujesz zasoby dla Siebie?
65;Чем бы вы хотели прекратить заниматься?;What would you like to stop doing?;Co chciałbyś przestać robić?
66;Что вас обрадовало вчера?;What made you happy yesterday?;Co sprawiło, że byłeś wczoraj szczęśliwy?
67;Расскажите факт из своей жизни, который удивил бы многих;Tell a fact about your life that would surprise a lot of people;Opowiedz o swoim życiu fakt, który zaskoczyłby wiele osób.
68;Если бы у вас была возможность переместиться во времени, что бы вы сделали?;If you had the ability to travel through time, what would you do?;Gdybyś miał możliwość podróżowania w czasie, co byś zrobił?
69;Что вас больше всего раздражает в людях?;What annoys you most about people?;Co najbardziej denerwuje Cię w ludziach?
70;Что расстроило вас на этой неделе?;What upset you this week?;Co cię zaniepokoiło w tym tygodniu?
71;Оцените этот день от -10 до 10, почему вы поставили такую оценку?;Rate this day from -10 to 10, why?;Oceń ten dzień od -10 do 10, dlaczego wystawiłeś taką ocenę?
72;Кто из ваших знакомых чаще всего даёт пассивно-агрессивные комментарии?;Who do you know most often makes passive-aggressive comments?;Kto z twoich znajomych najczęściej wygłasza pasywno-agresywne komentarze?
73;Какие мысли в вашей голове пугают вас?;What are the thoughts in your head that scare you?;Jakie myśli w twojej głowie cię przerażają?
74;Хотели бы вы сняться в рекламе? Если да, то в какой? Если нет, то почему?;Would you like to be in a advertisement? If yes, which one? If no, why not?;Czy chciałbyś wystąpić w reklamie? Jeśli tak, to w jakiej? Jeśli nie, to dlaczego?
75;Каким вы видите себя через 5 лет? Чем вы занимаетесь?;How do you see yourself in 5 years? What do you do?;Jak widzisz siebie za 5 lat? Czym się zajmujesz?
76;Что сделаешь, будь у тебя возможность отправиться на Марс и остаться там навсегда?;What would you do if you had the opportunity to go to Mars and stay there forever?;Co byś zrobił(a), gdybyś miał(a) okazję polecieć na Marsa i pozostać tam na zawsze?
77;Каково ваше самое первое детское воспоминание?;What is your earliest childhood memory?;Jakie jest Twoje najwcześniejsze wspomnienie z dzieciństwa?
78;Какое ваше любимое блюдо? Умеете ли вы его готовить?;What is your favorite dish? Do you know how to cook it?;Jakie jest Twoje ulubione danie? Czy wiesz jak go ugotować?
79;С кем бы вы хотели сходить на обед, если бы можно было выбрать кого угодно?;Who would you want to go out to lunch with if you could choose anyone?;Z kim chciałbyś pójść na lunch, gdybyś mógł wybrać kogokolwiek?
80;Хотели бы вы стать знаменитым? Если да, то в какой области? Если нет, то почему?;Would you like to be famous? If yes, in what area? If no, why not?;Czy chciałbyś być znany? Jeśli tak, to w jakiej branży? Jeśli nie, to dlaczego?
81;Замечали ли вы за собой, что вы подготавливаете заранее в голове фразы, перед тем как сделать телефонный звонок?;Have you ever noticed that you prepare phrases in your head in advance before you make a phone call?;Czy zauważyłeś kiedyś, że przed wykonaniem telefonu przygotowujesz w głowie frazy?
82;Опишите ваш идеальный день.;Describe your perfect day.;Opisz swój idealny dzień.
83;Вы любите петь? Когда в последний раз вы пели для себя? А для кого-то?;Do you like to sing? When was the last time you sang for yourself? For someone else?;Czy lubisz śpiewać? Kiedy ostatnio śpiewałeś dla siebie? Albo dla kogoś innego?
84;Хотели бы вы жить вечно?;Would you like to live forever?;Czy chciałbyś żyć wiecznie?
85;При каких обстоятельствах вы бы хотели умереть?;Under what circumstances would you like to die?;W jakich okolicznościach chciałbyś umrzeć?
86;За что вы благодарны судьбе? И за что вы благодарны себе?;What are you grateful to fate for? And what are you grateful to yourself for?;Za co jesteś wdzięczny życiu? A za co jesteś wdzięczny sobie?
87;Какую самую большую ошибку совершили ваши родители в вашем воспитании? Как им стоило поступить?;What was the biggest mistake your parents made in parenting you? What should they have done?;Jaki był największy błąd popełniony przez twoich rodziców podczas wychowywania cię? Co powinni byli zrobić?
88;У вас есть мечта или цель, о которая родилась давным давно, но вы так ее и не исполнили?;Do you have a dream or goal that was born a long time ago, but you never realized it?;Czy masz marzenie lub cel, który narodził się dawno temu, ale nigdy go nie zrealizowałeś?
89;Что вы считаете своим самым большим достижением в жизни?;What do you consider your greatest accomplishment in life?;Co uważasz za swoje największe osiągnięcie w życiu?
90;Какими качествами должен обладать человек, чтобы стать вашим другом?;What characteristics must a person possess to become your friend?;Jakie cechy musi posiadać osoba, aby zostać twoim przyjacielem?
91;Какое ваше самое приятное воспоминание за всю жизнь?;What is your sweetest memory in your entire life?;Jakie jest Twoje najpiękniejsze wspomnienie z całego życia?
92;Постарайтесь вспомнить ваше самое страшное воспоминание.;Try to remember your worst memory.;Spróbuj przypomnieć sobie swoje najgorsze wspomnienie.
93;Представьте, что вам осталось жить только один год. Чтобы бы вы изменили в вашей жизни?;Imagine you have only one year to live. What would you change in your life?;Wyobraź sobie, że został Ci tylko rok życia. Co byś zmienił w swoim życiu?
94;Что для вас значит дружба?;What does friendship mean to you?;Co oznacza dla ciebie przyjaźń?
95;Какую роль в вашей жизни играет любовь и привязанность?;What role does love and affection play in your life?;Jaką rolę w Twoim życiu odgrywa miłość i przywiązanie?
96;Считаете ли вы, что ваше детство было лучше чем у большинства людей? Или может наоборот?;Do you think your childhood was better than most people's? Or maybe the opposite?;Czy uważasz, że Twoje dzieciństwo było lepsze niż większości ludzi? A może wręcz przeciwnie?
97;Продолжите эту фразу: «Мне бы хотелось разделить с кем-нибудь...».;Continue this sentence, “I would like to share with someone...”.;Kontynuuj to zdanie: „Chciałbym podzielić się z kimś...”.
98;Скажите каждому игроку, чем он вам нравится, включая себя.;Tell each player what you like about them, even yourself.;Powiedz każdemu graczowi, co w nim lubisz, włączając w to siebie.
99;Вспомните неприятный момент с которым вы справились.;Recall an unpleasant moment you have dealt with.;Przypomnij sobie nieprzyjemny moment, z którym sobie poradziłeś.
100;Когда и отчего вы в последний раз плакали?;When and what was the last time you cried?;Kiedy i z jakiego powodu ostatnio płakałeś?
101;Если бы это был последний вечер в вашей жизни, и уже ни с кем нельзя было бы поговорить, кому и о чем несказанном вы бы жалели больше всего?;If it was the last evening of your life and there was no one you could talk to anymore, who and what untold thing would you regret the most?;Gdyby to była ostatnia noc twojego życia i nie byłoby nikogo, z kim mógłbyś porozmawiać, komu i czego najbardziej byś żałował ze nie powiedziałeś?
102;Представьте, что случился пожар. Ваши родные и домашние питомцы спасены. Какую одну вещь вы бы спасли?;Imagine there is a fire. Your family and pets are saved. What one thing would you save?;Wyobraź sobie, że wybuchł pożar. Twoja rodzina i zwierzęta zostały uratowane. Jaką jedną rzecz byś uratował?
